+-----------------------------------+----------------+
|               name                | LENGTH(p.name) |
| Basak Köklükaya                   | 15             |
| Basel Khayyat                     | 13             |
| Basem Samrah                      | 12             |
| Basma                             | 5              |
| Bassirou Diakhate                 | 17             |
| Bastian Drescher                  | 16             |
| Bastian Pastewka                  | 16             |
| Bat Ye'or                         | 9              |
| Batista                           | 7              |
| Baxtone Chilombo                  | 16             |
| Bay Doxey                         | 9              |
| Bayani Agbayani                   | 15             |
| Bayed Mohamed Ismail              | 20             |
| Bea Alonzo                        | 10             |
| Bea Binene                        | 10             |
| Bea Linder                        | 10             |
| Beat Schlatter                    | 14             |
| Beata Buczek-Zarnecka             | 21             |
| Beata Dorf                        | 10             |
| Beata Lehmann                     | 13             |
| Beata Pozniak                     | 13             |
| Beatriz Aguirre                   | 15             |
| Beatriz Batarda                   | 15             |
| Beatriz Batarda                   | 15             |
| Beatriz Batarda                   | 15             |
| Beatriz Bergamín                  | 16             |
| Beau van Erven Dorens             | 21             |
| Bebe Rittinaka                    | 14             |
| Bebo Storti                       | 11             |
| Bebo Valdés                       | 11             |
| Becca Ayers                       | 11             |
| Becca Bozenska                    | 14             |
| Becca Pollack                     | 13             |
| Becca Sand                        | 10             |
| Becky Brady                       | 11             |
| Becky Hirschfeld                  | 16             |
| Beego                             | 5              |
| Beena Banerjee                    | 14             |
| Beena Banerjee                    | 14             |
| Beena Sabu                        | 10             |
| Beenie Man                        | 10             |
| Bego                              | 4              |
| Begonya Plaza                     | 13             |
| Begoña Maestre                    | 14             |
| Behnaz Jafari                     | 13             |
| Beibi Gong                        | 10             |
| Bela B.                           | 7              |
| Belchior Maden                    | 14             |
| Belinda Becker                    | 14             |
| Belinda Cornish                   | 15             |
| Belinda Hamnett                   | 15             |
| Bella                             | 5              |
| Belén Blanco                      | 12             |
| Belén Blanco                      | 12             |
| Belén Rueda                       | 11             |
| Ben Affleck                       | 11             |
| Ben Affleck                       | 11             |
| Ben Allison                       | 11             |
| Ben Bartlett                      | 12             |
| Ben Bishop                        | 10             |
| Ben Browder                       | 11             |
| Ben Bruening                      | 12             |
| Ben Corey                         | 9              |
| Ben H. Carpenter                  | 16             |
| Ben Haretuku                      | 12             |
| Ben Harkin                        | 10             |
| Ben Hiura                         | 9              |
| Ben Johnson                       | 11             |
| Ben Johnson                       | 11             |
| Ben Johnson                       | 11             |
| Ben Juhl                          | 8              |
| Ben Kingsley                      | 12             |
| Ben Kingsley                      | 12             |
| Ben Kramer                        | 10             |
| Ben Laurance                      | 12             |
| Ben Miller                        | 10             |
| Ben Morris                        | 10             |
| Ben Nichols                       | 11             |
| Ben Perino                        | 10             |
| Ben Stiller                       | 11             |
| Ben Stiller                       | 11             |
| Ben Stiller                       | 11             |
| Ben Stiller                       | 11             |
| Ben Stiller                       | 11             |
| Ben Syverson                      | 12             |
| Ben Walen                         | 9              |
| Benedetta Cesqui                  | 16             |
| Bengal                            | 6              |
| Bengal                            | 6              |
| Bengal                            | 6              |
| Bengt af Klintberg                | 18             |
| Benjamin                          | 8              |
| Benjamin Barber                   | 15             |
| Benjamin Bratt                    | 14             |
| Benjamin Hornsby                  | 16             |
| Benjamin Lazar                    | 14             |
| Benjamin Lazar                    | 14             |
| Benjamin Morgaine                 | 17             |
| Benjamin Morgaine                 | 17             |
| Benjamin Netanyahu                | 18             |
| Benjamin P. Garman                | 18             |
| Benjamin Rolland                  | 16             |
| Benjamin Seidel                   | 15             |
| Benjamin Toderi                   | 15             |
| Benjamin Travers                  | 16             |
| Benjamín Rojas                    | 14             |
| Benny Altmüller                   | 15             |
| Benny Benowitz                    | 14             |
| Benny Ibarra                      | 12             |
| Benny Shilling                    | 14             |
| Benoît Delépine                   | 15             |
| Benoît Girard                     | 13             |
| Benoît Giros                      | 12             |
| Benoît Lange                      | 12             |
| Benoît Magimel                    | 14             |
| Benoît Magimel                    | 14             |
| Benoît Poelvoorde                 | 17             |
| Benoît Poelvoorde                 | 17             |
| Benoît Poelvoorde                 | 17             |
| Benoît Poelvoorde                 | 17             |
| Beom-su Lee                       | 11             |
| Beom-su Lee                       | 11             |
| Berg Lee                          | 8              |
| Bernabé Melendrez                 | 17             |
| Bernadette Devlin                 | 17             |
| Bernadette Hodeib                 | 17             |
| Bernard Bacos                     | 13             |
| Bernard Campan                    | 14             |
| Bernard Canepari                  | 16             |
| Bernard Giraudeau                 | 17             |
| Bernard Giraudeau                 | 17             |
| Bernard Holston                   | 15             |
| Bernard Le Coq                    | 14             |
| Bernard Le Coq                    | 14             |
| Bernard Maurel                    | 14             |
| Bernard Montini                   | 15             |
| Bernard Stiegler                  | 16             |
| Bernard Verley                    | 14             |
| Bernard van Maarseveen            | 22             |
| Bernarda Pagés                    | 14             |
| Bernardine Dohrn                  | 16             |
| Bernardo Forteza                  | 16             |
| Berndt Stübner                    | 14             |
| Bernhard Bieniek                  | 16             |
| Bernhard Bozian                   | 15             |
| Bernhard Butz                     | 13             |
| Bernhard Mehl                     | 13             |
| Bernhard Schütz                   | 15             |
| Bernice Golden                    | 14             |
| Bernie Mac                        | 10             |
| Bert André                        | 10             |
| Bert Hölldobler                   | 15             |
| Bert-Åke Varg                     | 13             |
| Bertie Berleson                   | 15             |
| Bertoldt Flessa                   | 15             |
| Bertrand Bossard                  | 16             |
| Bertrand Cousteau                 | 17             |
| Bertrand Fierret                  | 16             |
| Beryl Adams                       | 11             |
| Besa Myftiu                       | 11             |
| Beshkim Berisha                   | 15             |
| Beth Armas                        | 10             |
| Beth Orton                        | 10             |
| Beth Winter                       | 11             |
| Bethany Emerson                   | 15             |
| Bethany Fisher                    | 14             |
| Bethany Wilkins                   | 15             |
| Beto Neves                        | 10             |
| Bette Midler                      | 12             |
| Bettina Carlos                    | 14             |
| Bettina Zimmermann                | 18             |
| Betty Aberlin                     | 13             |
| Betty Banafe                      | 12             |
| Betty Buckley                     | 13             |
| Betty Colombo                     | 13             |
| Betty DeGeneres                   | 15             |
| Betty Faria                       | 11             |
| Betty Faria                       | 11             |
| Betty Gold                        | 10             |
| Betty Valassi                     | 13             |
| Bevan Bell                        | 10             |
| Beverley Martyn                   | 15             |
| Beverly D'Angelo                  | 16             |
| Beverly Hynds                     | 13             |
| Bey Logan                         | 9              |
| Bhagwan                           | 7              |
| Bhagyam Pilla                     | 13             |
| Bhalchandra Kulkarni              | 20             |
| Bhalchandra Kulkarni              | 20             |
| Bhanuchander                      | 12             |
| Bhanupriya                        | 10             |
| Bhanupriya                        | 10             |
| Bhanupriya                        | 10             |
| Bharat                            | 6              |
| Bharat                            | 6              |
| Bharat Daini                      | 12             |
| Bharat Ganeshpure                 | 17             |
| Bharat Ganeshpure                 | 17             |
| Bharat Jadhav                     | 13             |
| Bharat Jadhav                     | 13             |
| Bharat Kapoor                     | 13             |
| Bharat Kumar                      | 12             |
| Bharath                           | 7              |
| Bharath Bhagavathar               | 19             |
| Bharath Bhagavathar               | 19             |
| Bharath Srinivasan                | 18             |
| Bharath Srinivasan                | 18             |
| Bharath Srinivasan                | 18             |
| Bhargav Kataki                    | 14             |
| Bhargavi Bodhini                  | 16             |
| Bharti Achrekar                   | 15             |
| Bharti Achrekar                   | 15             |
| Bhaskar                           | 7              |
| Bhaskar Bora                      | 12             |
| Bhavana                           | 7              |
| Bhavana                           | 7              |
| Bhavana                           | 7              |
| Bhavana                           | 7              |
| Bhavana                           | 7              |
| Bhavana                           | 7              |
| Bhavna Pani                       | 11             |
| Bhavna Pani                       | 11             |
| Bhavna Rathod                     | 13             |
| Bhavya                            | 6              |
| Bhomaram Suthar                   | 15             |
| Bhoomika Chawla                   | 15             |
| Bhoomika Chawla                   | 15             |
| Bhoomika Chawla                   | 15             |
| Bhoomika Chawla                   | 15             |
| Bhumika Puri                      | 12             |
| Bhuvaneswari                      | 12             |
| Bhuvaneswari                      | 12             |
| Bhuvaneswari                      | 12             |
| Biagio Barone                     | 13             |
| Biagio Black                      | 12             |
| Biagio Izzo                       | 11             |
| Biagio Ventrelli                  | 16             |
| Bianca Bonomi                     | 13             |
| Bianca Lawson                     | 13             |
| Bianca Sams                       | 11             |
| Biancamaria D'Amato               | 19             |
| Biao Yuen                         | 9              |
| Bibi Naceri                       | 11             |
| Bibiana Beglau                    | 14             |
| Bibiana Beglau                    | 14             |
| Bibiana Fernández                 | 17             |
| Bijan Chemirani                   | 15             |
| Bijan Daneshmand                  | 16             |
| Bijan Emkanian                    | 14             |
| Bijay Mohanty                     | 13             |
| Biju Menon                        | 10             |
| Biju Menon                        | 10             |
| Biju Menon                        | 10             |
| Biju Phukan                       | 11             |
| Biju Phukan                       | 11             |
| Bike Baba                         | 9              |
| Bilgen Akalan                     | 13             |
| Bill Alexander                    | 14             |
| Bill Armour                       | 11             |
| Bill Bailey                       | 11             |
| Bill Bain                         | 9              |
| Bill Baker                        | 10             |
| Bill Barclay                      | 12             |
| Bill Beeson                       | 11             |
| Bill Booker                       | 11             |
| Bill Calvert                      | 12             |
| Bill Carpenter                    | 14             |
| Bill Clinton                      | 12             |
| Bill Clinton                      | 12             |
| Bill Cowell                       | 11             |
| Bill Curry                        | 10             |
| Bill Evans                        | 10             |
| Bill Everett                      | 12             |
| Bill Floyd                        | 10             |
| Bill Flynn                        | 10             |
| Bill Gillespie                    | 14             |
| Bill Heintz                       | 11             |
| Bill Hillsman                     | 13             |
| Bill Hyland                       | 11             |
| Bill Irwin                        | 10             |
| Bill Kassebaum                    | 14             |
| Bill Kerr                         | 9              |
| Bill Kirchenbauer                 | 17             |
| Bill Mays                         | 9              |
| Bill Murray                       | 11             |
| Bill Murray                       | 11             |
| Bill Nowlin                       | 11             |
| Bill O'Reilly                     | 13             |
| Bill Paxton                       | 11             |
| Bill Paxton                       | 11             |
| Bill Paxton                       | 11             |
| Bill Tapia                        | 10             |
| Bill Tyree                        | 10             |
| Bill Weston                       | 11             |
| Billie Jones                      | 12             |
| Billie Worley                     | 13             |
| Billoah Greene                    | 14             |
| Billy Bob Thornton                | 18             |
| Billy Bob Thornton                | 18             |
| Billy Bob Thornton                | 18             |
| Billy Boyd                        | 10             |
| Billy Chow                        | 10             |
| Billy Chow                        | 10             |
| Billy Crudup                      | 12             |
| Billy Crystal                     | 13             |
| Billy Daydoge                     | 13             |
| Billy Franks                      | 12             |
| Billy Fridley                     | 13             |
| Billy Gallo                       | 11             |
| Billy Joe Shaver                  | 16             |
| Billy Kay                         | 9              |
| Billy Kearney                     | 13             |
| Billy Marshall                    | 14             |
| Billy Wirth                       | 11             |
| Billy Zane                        | 10             |
| Billy Zane                        | 10             |
| Billy de Baie                     | 13             |
| Bimbo Akintola                    | 14             |
| Bin Fang                          | 8              |
| Bin Liu                           | 7              |
| Binata Laishram                   | 15             |
| Bindu Ramakrishnan                | 18             |
| Bingbing Li                       | 11             |
| Bingdong Liu                      | 12             |
| Binnur Gülbey                     | 13             |
| Binnur Isik                       | 11             |
| Bipasha Basu                      | 12             |
| Bipasha Basu                      | 12             |
| Bipasha Basu                      | 12             |
| Bipasha Basu                      | 12             |
| Bipasha Basu                      | 12             |
| Bipasha Basu                      | 12             |
| Bipasha Hayat                     | 13             |
| Biplab Chatterjee                 | 17             |
| Biplab Chatterjee                 | 17             |
| Biplab Chatterjee                 | 17             |
| Biplab Chatterjee                 | 17             |
| Biratã Vieira                     | 13             |
| Birbal                            | 6              |
| Birge Schade                      | 12             |
| Birgit Lünsmann                   | 15             |
| Birgit Minichmayr                 | 17             |
| Birgit Nilsson                    | 14             |
| Birkett Turton                    | 14             |
| Birol Ünel                        | 10             |
| Birol Ünel                        | 10             |
| Birol Ünel                        | 10             |
| Biryomumaisho Ignatius            | 22             |
| Biser Marinov                     | 13             |
| Bishnu Kharghoria                 | 17             |
| Bishnu Kharghoria                 | 17             |
| Bishnu Kharghoria                 | 17             |
| Biswajeet Chatterjee              | 20             |
| Biswajit Chakraborty              | 20             |
| Biswajit Chakraborty              | 20             |
| Biyouna                           | 7              |
| Bjarke Kastbjerg Andersen         | 25             |
| Bjarne Gunnarsson                 | 17             |
| Bjorn Copeland                    | 14             |
| Björgvin Helgi Halldórsson        | 26             |
| Björk                             | 5              |
| Björn Almroth                     | 13             |
| Björn Casapietra                  | 16             |
| Björn Ferry                       | 11             |
| Björn Kjellman                    | 14             |
| Björn Månsson                     | 13             |
| Björn Nelhus                      | 12             |
| Bjørn Eivind Aasland              | 20             |
| Bjørn Floberg                     | 13             |
| Bjørn Petterson                   | 15             |
| Bjørn Sundquist                   | 15             |
| Black Rebel Motorcycle Club       | 27             |
| Blackie Shou-Liang Ko             | 21             |
| Blackie Shou-Liang Ko             | 21             |
| Blake Biddulph                    | 14             |
| Blake Harper                      | 12             |
| Blake Webster                     | 13             |
| Blanca Galán                      | 12             |
| Blanca Guerrero                   | 15             |
| Blanca Lidia Muñoz                | 18             |
| Blanca Oteyza                     | 13             |
| Blas Durán                        | 10             |
| Blaz Marincelj                    | 14             |
| Blerim Gjoci                      | 12             |
| Blizzard Africa                   | 15             |
| Blythe Danner                     | 13             |
| Bo Bell                           | 7              |
| Bo Man Cheung                     | 13             |
| Bo Thomasen                       | 11             |
| Bo Yu                             | 5              |
| Bo Yu                             | 5              |
| Bo-Sien Chuan                     | 13             |
| Bo-lin Chen                       | 11             |
| Bo-ra Geum                        | 10             |
| Bob Andrews-Bryant                | 18             |
| Bob Balaban                       | 11             |
| Bob Balaban                       | 11             |
| Bob Boyd                          | 8              |
| Bob Burden                        | 10             |
| Bob C. Cooke                      | 12             |
| Bob Charlock                      | 12             |
| Bob Christo                       | 11             |
| Bob Costas                        | 10             |
| Bob Currier                       | 11             |
| Bob Druwing                       | 11             |
| Bob Dylan                         | 9              |
| Bob Freedman                      | 12             |
| Bob Gonzo                         | 9              |
| Bob Gunton                        | 10             |
| Bob Havice                        | 10             |
| Bob Hoskins                       | 11             |
| Bob Lipka                         | 9              |
| Bob McCartin                      | 12             |
| Bob McChesney                     | 13             |
| Bob Nanna                         | 9              |
| Bob Nastanovich                   | 15             |
| Bob Note                          | 8              |
| Bob Note                          | 8              |
| Bobbi Ashton                      | 12             |
| Bobbi Jean Basche                 | 17             |
| Bobbi Jean Basche                 | 17             |
| Bobbie Phillips                   | 15             |
| Bobby                             | 5              |
| Bobby Benitez                     | 13             |
| Bobby Brown                       | 11             |
| Bobby Browning                    | 14             |
| Bobby Carcassés                   | 15             |
| Bobby Cash                        | 10             |
| Bobby Darling                     | 13             |
| Bobby Deol                        | 10             |
| Bobby Deol                        | 10             |
| Bobby Deol                        | 10             |
| Bobby George                      | 12             |
| Bobby Glessner                    | 14             |
| Bobby Glover                      | 12             |
| Bobby Khan                        | 10             |
| Bobby Kumar                       | 11             |
| Bobby Kumar                       | 11             |
| Bobby Orlando                     | 13             |
| Bobby Pataki                      | 12             |
| Bobby Tisdale                     | 13             |
| Bodhi Rana                        | 10             |
| Bodil Jørgensen                   | 15             |
| Bodo Kox                          | 8              |
| Bogdan Diklic                     | 13             |
| Bogdan Diklic                     | 13             |
| Bogdan Diklic                     | 13             |
| Bogdan Sidelnik                   | 15             |
| Bogdan Stupka                     | 13             |
| Bojan Emersic                     | 13             |
| Bojan Emersic                     | 13             |
| Bok Lai Loh                       | 11             |
| Bok Lai Loh                       | 11             |
| Bok Lai Loh                       | 11             |
| Bon Ogle                          | 8              |
| Bonda Mani                        | 10             |
| Bongkoj Khongmalai                | 18             |
| Bongkoj Khongmalai                | 18             |
| Bonhima                           | 7              |
| Boniface Alexandre                | 18             |
| Bonnie Dull                       | 11             |
| Bonnie Fahey                      | 12             |
| Bool-am Choi                      | 12             |
| Boonsong Nakphoo                  | 16             |
| Borbála Derzsi                    | 14             |
| Bori Rutkai                       | 11             |
| Boris Aljinovic                   | 15             |
| Boris Barsky                      | 12             |
| Boris Berezovsky                  | 16             |
| Boris Kamorzin                    | 14             |
| Boris Khimichev                   | 15             |
| Boris Milivojevic                 | 17             |
| Boris Ostan                       | 11             |
| Boris Raev                        | 10             |
| Boris Shcherbakov                 | 17             |
| Borivoj Navrátil                  | 16             |
| Borja Elgea                       | 11             |
| Borna Kazerani                    | 14             |
| Boro Stjepanovic                  | 16             |
| Borys Szyc                        | 10             |
| Boucar Diouf                      | 12             |
| Boufeldja                         | 9              |
| Bougi Haneda                      | 12             |
| Bouli Lanners                     | 13             |
| Boy George                        | 10             |
| Boy Olmi                          | 8              |
| Boyd Gaines                       | 11             |
| Bozidar Alic                      | 12             |
| Brad Alsobrook                    | 14             |
| Brad Bartley                      | 12             |
| Brad Bouzane                      | 12             |
| Brad Denboer                      | 12             |
| Brad Dourif                       | 11             |
| Brad Dourif                       | 11             |
| Brad Gooding                      | 12             |
| Brad Johnson                      | 12             |
| Brad Koester                      | 12             |
| Brad Marshall                     | 13             |
| Brad McGinnes                     | 13             |
| Brad Pitt                         | 9              |
| Brad Pitt                         | 9              |
| Brad Stine                        | 10             |
| Brad Verret                       | 11             |
| Bradd Gultsch                     | 13             |
| Braden Dias                       | 11             |
| Bradley Kell                      | 12             |
| Bradley King                      | 12             |
| Brady Austin                      | 12             |
| Brady Bell                        | 10             |
| Brady Corbet                      | 12             |
| Brady Corbet                      | 12             |
| Brady L. Benton                   | 15             |
| Brahm Prasad                      | 12             |
| Brahmaji                          | 8              |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Brahmanandam                      | 12             |
| Braid                             | 5              |
| Bram van der Vlugt                | 18             |
| Brandee Sanders                   | 15             |
| Branden Waugh                     | 13             |
| Brandi Boyd                       | 11             |
| Brandi Coppock                    | 14             |
| Brandie Riggs                     | 13             |
| Brando Bringas                    | 14             |
| Brando Legaspi                    | 14             |
| Brandon Bales                     | 13             |
| Brandon Chang                     | 13             |
| Brandon Cogo                      | 12             |
| Brandon Dean                      | 12             |
| Brandon Dixon                     | 13             |
| Brandon E. Brooks                 | 17             |
| Brandon Hannan                    | 14             |
| Brandon Hoskins                   | 15             |
| Brandon Nicholas                  | 16             |
| Brandon Quinn                     | 13             |
| Brandon Riley                     | 13             |
| Brandon Roberts                   | 15             |
| Brandon Tyra                      | 12             |
| Brandon Van Vliet                 | 17             |
| Brandy Burre                      | 12             |
| Brandy Williams                   | 15             |
| Branimir Brstina                  | 16             |
| Branislav Trifunovic              | 20             |
| Branka Katic                      | 12             |
| Branko Zavrsan                    | 14             |
| Brannon Gould                     | 13             |
| Bratko Bibic                      | 12             |
| Breckin Meyer                     | 13             |
| Breckin Meyer                     | 13             |
| Bree Condon                       | 11             |
| Bree Turner                       | 11             |
| Bren Allison                      | 12             |
| Brenda Bakke                      | 12             |
| Brenda Blethyn                    | 14             |
| Brenda Bogosian                   | 15             |
| Brenda Cooney                     | 13             |
| Brenda Denmark                    | 14             |
| Brenda Strong                     | 13             |
| Brendan Bayliss                   | 15             |
| Brendan Beiser                    | 14             |
| Brendan Cleaves                   | 15             |
| Brendan Connor                    | 14             |
| Brendan Cowell                    | 14             |
| Brendan Coyle                     | 13             |
| Brendan Culleton                  | 16             |
| Brendan Dempsey                   | 15             |
| Brendan Fletcher                  | 16             |
| Brendan Fletcher                  | 16             |
| Brendan Foley                     | 13             |
| Brendan Gleeson                   | 15             |
| Brendan Kruse                     | 13             |
| Brendan McDonald                  | 16             |
| Brendon Boyd                      | 12             |
| Brent Bartley                     | 13             |
| Brent Black                       | 11             |
| Brent Blair                       | 11             |
| Brent Davis                       | 11             |
| Brent Douglas                     | 13             |
| Brent Meyer                       | 11             |
| Brent Neale                       | 11             |
| Brent Roam                        | 10             |
| Brent Taylor                      | 12             |
| Brenton Metzler                   | 15             |
| Breon Ansley                      | 12             |
| Bret Harrison                     | 13             |
| Bret J. Cococcia                  | 16             |
| Bret McKenzie                     | 13             |
| Brett Bower                       | 11             |
| Brett Gillen                      | 12             |
| Brett Harvey                      | 12             |
| Brett Stimely                     | 13             |
| Brian A. McLaughlin               | 19             |
| Brian Bancale                     | 13             |
| Brian Battisti                    | 14             |
| Brian Black                       | 11             |
| Brian Blessed                     | 13             |
| Brian Boye                        | 10             |
| Brian Brown                       | 11             |
| Brian Burchanowski                | 18             |
| Brian Burnam                      | 12             |
| Brian Cade                        | 10             |
| Brian Camel                       | 11             |
| Brian Cameron                     | 13             |
| Brian Canada                      | 12             |
| Brian Carson                      | 12             |
| Brian Chase                       | 11             |
| Brian Clune                       | 11             |
| Brian Conely                      | 12             |
| Brian Corcoran                    | 14             |
| Brian Cox                         | 9              |
| Brian Cox                         | 9              |
| Brian Cox                         | 9              |
| Brian Dawson                      | 12             |
| Brian Dunphey                     | 13             |
| Brian Eric Johnson                | 18             |
| Brian Hennessey                   | 15             |
| Brian Herzlinger                  | 16             |
| Brian Hoffman                     | 13             |
| Brian Johnson                     | 13             |
| Brian Keith Allen                 | 17             |
| Brian Klugman                     | 13             |
| Brian LaBelle                     | 13             |
| Brian Maya                        | 10             |
| Brian McConnachie                 | 17             |
| Brian Mphalele                    | 14             |
| Brian Mullins                     | 13             |
| Brian O'Hare                      | 12             |
| Brian Peters                      | 12             |
| Brian Presley                     | 13             |
| Brian Prosser                     | 13             |
| Brian Webb                        | 10             |
| Brian White                       | 11             |
| Brian Williams                    | 14             |
| Brian Wizard                      | 12             |
| Brianna Gwen                      | 12             |
| Brice Cauvin                      | 12             |
| Bridget Barkan                    | 14             |
| Bridget Moynahan                  | 16             |
| Bridgett Newton                   | 15             |
| Bridgette Klose                   | 15             |
| Bridgit Mendler                   | 15             |
| Brie Hill Arbaugh                 | 17             |
| Brighton Ellithorpe               | 19             |
| Brigita Bublyte                   | 15             |
| Brigitte Catillon                 | 17             |
| Brigitte Catillon                 | 17             |
| Brigitte Lafleur                  | 16             |
| Brigitte Lahaie                   | 15             |
| Brigitte Paquette                 | 17             |
| Brigitte Roüan                    | 14             |
| Brij Gopal                        | 10             |
| Brinke Stevens                    | 14             |
| Brit Elisabeth Haagensli          | 24             |
| Brit Gülland                      | 12             |
| Britt Barrett                     | 13             |
| Britt Robertson                   | 15             |
| Britt-Marie Andersson             | 21             |
| Brittany Arceneaux                | 18             |
| Brittany Calla                    | 14             |
| Brittany Eldridge                 | 17             |
| Brittany Murphy                   | 15             |
| Brock Fanning                     | 13             |
| Brodi Roberts                     | 13             |
| Bronson Pinchot                   | 15             |
| Bronwyn Hardy                     | 13             |
| Brooke Brandt                     | 13             |
| Brooke Burgstahler                | 18             |
| Brooke Burke                      | 12             |
| Brooke Burke                      | 12             |
| Brooke Frost                      | 12             |
| Brooke Kemp                       | 11             |
| Brooke Shields                    | 14             |
| Brooke Shields                    | 14             |
| Brooks Brown                      | 12             |
| Brooks Brown                      | 12             |
| Brother Achalananda               | 19             |
| Bruce Allen Dawson                | 18             |
| Bruce Bennett                     | 13             |
| Bruce Bickford                    | 14             |
| Bruce Bouchard                    | 14             |
| Bruce Boxleitner                  | 16             |
| Bruce Boxleitner                  | 16             |
| Bruce Buchanan                    | 14             |
| Bruce Campbell                    | 14             |
| Bruce Cronander                   | 15             |
| Bruce Dickinson                   | 15             |
| Bruce Elgin                       | 11             |
| Bruce Fortnam                     | 13             |
| Bruce Gibson                      | 12             |
| Bruce Gilbert                     | 13             |
| Bruce Good                        | 10             |
| Bruce Greenwood                   | 15             |
| Bruce Hayward                     | 13             |
| Bruce Hopkins                     | 13             |
| Bruce Hunter                      | 12             |
| Bruce Jay Friedman                | 18             |
| Bruce Keller                      | 12             |
| Bruce La Bruce                    | 14             |
| Bruce Myers                       | 11             |
| Bruce Odhiambo                    | 14             |
| Bruce Richardson                  | 16             |
| Bruce Robert Cole                 | 17             |
| Bruce Siedler                     | 13             |
| Bruce Solibakke                   | 15             |
| Bruce Weber                       | 11             |
| Bruce Weitz                       | 11             |
| Bruce Willis                      | 12             |
| Brufald                           | 7              |
| Bruno Arena                       | 11             |
| Bruno Arena                       | 11             |
| Bruno Armando                     | 13             |
| Bruno Bichir                      | 12             |
| Bruno Bravo                       | 11             |
| Bruno Cariati                     | 13             |
| Bruno Colella                     | 13             |
| Bruno Corazzari                   | 15             |
| Bruno F. Apitz                    | 14             |
| Bruno Gambarotta                  | 16             |
| Bruno Ganz                        | 10             |
| Bruno Ganz                        | 10             |
| Bruno Putzulu                     | 13             |
| Bruno Putzulu                     | 13             |
| Bruno Salomone                    | 14             |
| Bruno Schwebel                    | 14             |
| Bruno Todeschini                  | 16             |
| Bruno del Bono                    | 14             |
| Bryan Bullock                     | 13             |
| Bryan Burke                       | 11             |
| Bryan Clark                       | 11             |
| Bryan Cranston                    | 14             |
| Bryan Fox                         | 9              |
| Bryan Gonzalez                    | 14             |
| Bryan Hatt                        | 10             |
| Bryan Kirkwood                    | 14             |
| Bryan Law                         | 9              |
| Bryan Lukasik                     | 13             |
| Bryan Marshall                    | 14             |
| Bryan Schany                      | 12             |
| Bryan Smithson                    | 14             |
| Bryan Vartanian                   | 15             |
| Bryant Davis                      | 12             |
| Bryce Dallas Howard               | 19             |
| Bryce Dallas Howard               | 19             |
| Bryce Johnson                     | 13             |
| Bryce McLaughlin                  | 16             |
| Bryin Dall                        | 10             |
| Bryndís J. Gunnarsdóttir          | 24             |
| Bubba Smith                       | 11             |
| Bubbi Morthens                    | 14             |
| Buck Taylor                       | 11             |
| Budak Akalin                      | 12             |
| Budd Hopkins                      | 12             |
| Buddy Giovinazzo                  | 16             |
| Buddy Givonazzo                   | 15             |
| Buddy Guy                         | 9              |
| Buddy Hackett                     | 13             |
| Buddy Redmustache                 | 17             |
| Buffy Childerhose                 | 17             |
| Bui Thi Thanh Mai                 | 17             |
| Buket Çagri                       | 11             |
| Bullet Prakash                    | 14             |
| Bulut Aras                        | 10             |
| Bunyawan Pongsuwan                | 18             |
| Burak Altay                       | 11             |
| Burghart Klaußner                 | 17             |
| Burghart Klaußner                 | 17             |
| Burkni Birgisson                  | 16             |
| Burt Young                        | 10             |
| Bushido                           | 7              |
| Busta Rhymes                      | 12             |
| Buster Söderström                 | 17             |
| Busy Lizzie                       | 11             |
| Busy Philipps                     | 13             |
| Busy Philipps                     | 13             |
| Buteur Métayer                    | 14             |
| Byeong-seok Kim                   | 15             |
| Byun Hee-Bong                     | 13             |
| Byun Hee-Bong                     | 13             |
| Byung-ho Son                      | 12             |
| Byung-ho Son                      | 12             |
| Béatrice Dalle                    | 14             |
| Béatrice Dalle                    | 14             |
| Béatrice Laout                    | 14             |
| Bélgica Castro                    | 14             |
| Bénédicte Décary                  | 16             |
| Bérangère Haubruge                | 18             |
| Bérénice Bejo                     | 13             |
| Bülent                            | 6              |
| C. Renee Althaus                  | 16             |
| C. Thomas Howell                  | 16             |
